 



FAMOUS PHOTOGRAPHERS
 
Name	Dates	Nationality	Genre of Photography
Margaret Bourke-White	June 14, 1904 – August 27, 1971	American 	Documentary
Mario Testino	October 30, 1954	Peruvian 	Fashion
Martin Parr	May 23, 1952	British	Documentary
Mary Ellen Mark	March 20, 1940 – May 25, 2015	American	Commercial, Documentary, Photojournalism, Portrait
Mary McCartney	August 28, 1969	British	Portrait
Mathew Brady	May 18, 1822 – January 15, 1896	American	Photojournalism, War
Melissa Auf Der Maur	March 17, 1972	Canadian	Portrait
Michael Kenna	1953	British	Art, Landscape
Michael O’Brien	June 27, 1950	American	Documentary, Portrait
Michael Wolf	1954	German	Art, Photojournalism
Nadar	April 6, 1820 – March 23, 1910	French	Aerial, Portraits
Nadav Kander	December 1, 1961	British	Landscape, Portrait
Nan Goldin	September 12, 1953
	American	Art, Portrait
Nick Knight	1958	British	Fashion, Documentary
Nigel Barker	April 27, 1972	British	Fashion
Nobuyoshi Araki	May 25, 1940	Japanese	Art
Norman Parkinson	April 21, 1913 – February 15, 1990	British	Fashion, Portrait
Oliviero Toscani	1942 	Italian	Commercial
Patrick Demarchelier	August 21, 1943	French	Fashion
Paul Strand	October 16, 1890 – March 31, 1976	American	Art
Penny Lancaster	March 15, 1971	British	Fashion
Peter Lik	1959	Australian	Nature, Landscape
Peter Lindbergh	November 23, 1944	German	Fashion
Philip-Lorca diCorcia	1951	American	Art, Documentary
Philippe Halsman	May 2, 1906 – June 25, 1979	American	Portrait
Rankin	1966	British	Fashion, Portrait
Richard Avedon	May 15, 1923 – October 1, 2004	American	Fashion, Portrait
Richard Prince	1949	American	Rephotography
Rineke Dijkstra	June 2, 1959
	Dutch	Commercial, Portrait
Robert Adams	May 8, 1937	American	Art, Landscape
Robert Capa	October 22, 1913 – May 25, 1954	Hungarian 	Photojournalism, War
Robert Doisneau	April 14, 1912 – April 1, 1994	French	Photojournalism
Robert Frank	November 9, 1924	American	Documentary, Landscape, Portrait
Robert Mapplethorpe	November 4, 1946 – March 9, 1989	American	Art, Fashion Portrait
Russell James	1962 	Australian	Fashion
Sally Mann	May 1, 1951 	American	Art, Documentary, Pictorial, Portrait
Sam Taylor-Wood	March 4, 1967	British	Art, Documentary, Portrait
Sandy Skoglund	September 11, 1946
	American	Art, Documentary
Sebastião Salgado	February 8, 1944	Brazilian 	Documentary, Photojournalism
Serge Lutens	March 14, 1942
	French	Art, Fashion
Sophie Calle	October 9, 1953
	French	Art
Spencer Tunick	January 1, 1967
	American	Art
Stephen Dalton	1937	British	Wildlife
Stephen Shore	October 8, 1947
	American	Art, Commercial
Steve McCurry	February 24, 1950
	American	Photojournalism, Portrait
Steve Parish	July 15, 1945
	Australian 	Nature, Travel
Steven Meisel	June 5, 1954	American	Fashion
Takashi Amano	July 18, 1954	Japanese	Landscape, Nature, Underwater
Terry Richardson	August 14, 1965	American	Fashion, Portrait
Thomas Ruff	February 10, 1958	German	Art, Portrait
Thomas Struth	1954	German	Portrait, Street
Tim Hetherington	December 5, 1970 – April 20, 2011	British	Photojournalism, War
Tina Modotti	August 16, 1896 - January 6, 1942	Italian	Art, Documentary, Portrait
Trey Ratcliff	July 7, 1971	American	Art, Travel
Vik Muniz	December 20, 1961 	Brazilian 	Abstract, Art
Vincent Laforet	1975	French-American	Documentary
Vivian Maier	February 1, 1926 – April 21, 2009	American	Photojournalism
W. Eugene Smith	December 30, 1918 – October 15, 1978	American	Photojournalism
Walker Evans	November 3, 1903 – April 10, 1975	American	Documentary, Portrait
Weegee	June 12, 1899 – December 26, 1968	Austrian-born American	Photojournalism, Street
William Eggleston	July 27, 1939 	American 	Art, Documentary, Landscape
William Klein	April 19, 1928
	American-born French	Fashion, Photojournalism
William Wegman	December 2, 1943
	American	Art
Willy Ronis	August 14, 1910 – September 12, 2009	French	Documentary
Wolfgang Tillmans	1968	German	Abstract, Art, Landscape
Yann Arthus-Bertrand	March 13, 1946
	French	Aerial
Yousuf Karsh	December 23, 1908 – July 13, 2002	American-Canadian	Portrait

 
Copyright © 2023 - FamousPhotographers.net
